Status,Gemeinde,Website,robots,Crawl-Delay,Sitemap,Veranstaltungsseiten,Beispiel-URL,JSON-LD,Hinweis
KANDIDAT,Bad-Mondorf,https://www.mondorf-les-bains.lu/,erlaubt,,https://www.mondorf-les-bains.lu/sitemap.xml,42,https://www.mondorf-les-bains.lu/vie-quotidienne/agenda/,nein,
KANDIDAT,Bartringen,https://www.bertrange.lu/,erlaubt,,,1,https://www.bertrange.lu/fr/actualites,nein,"keine Sitemap, Pfad geraten"
KANDIDAT,Bauschleiden,https://www.boulaide.lu,erlaubt,,https://boulaide.lu/sitemap_index.xml,69,https://boulaide.lu/events/,ja,
KANDIDAT,Bech,http://www.bech.lu/,erlaubt,,https://bech.lu/sitemap_index.xml,87,https://bech.lu/events/,ja,
NICHTS GEFUNDEN,Beckerich,https://beckerich.lu,erlaubt,,,0,,,
KANDIDAT,Befort,http://www.beaufort.lu/,erlaubt,,https://beaufort.lu/sitemap_index.xml,243,https://beaufort.lu/events/,ja,
KANDIDAT,Berdorf,https://www.berdorf.lu/,erlaubt,,,1,https://www.berdorf.lu/agenda,nein,"keine Sitemap, Pfad geraten"
KANDIDAT,Bettemburg,https://bettembourg.lu/,erlaubt,,https://bettembourg.lu/sitemap_index.xml,30,https://bettembourg.lu/agenda/,nein,
KANDIDAT,Bettendorf,http://www.bettendorf.lu/,erlaubt,,https://bettendorf.lu/sitemap_index.xml,212,https://bettendorf.lu/events/,ja,
NICHTS GEFUNDEN,Betzdorf,https://betzdorf.lu/,erlaubt,,,0,,,
GESPERRT,Bissen,http://www.bissen.lu,verbietet,,,,,,robots.txt untersagt das Crawlen
KANDIDAT,Biwer,http://www.biwer.lu,erlaubt,,https://biwer.lu/sitemap_index.xml,104,https://biwer.lu/events/,ja,
KANDIDAT,Bous-Waldbredimus,https://bouswaldbredimus.lu/,erlaubt,,https://bouswaldbredimus.lu/sitemap_index.xml,337,https://bouswaldbredimus.lu/events/,ja,
